imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt1705786,,0,0,,1 hr 33 min,Comedy Drama,0,10911008,10911008
tt0938291,,0,0,,1 hr 25 min,Romance,0,0,0
tt0441782,,0,0,R,1 hr 32 min,Drama Thriller,0,0,0
tt0022787,,0,0,,1 hr 55 min,Drama War,0,0,0
tt1554091,Summit Entertainment,62087,10000000,PG-13,1 hr 38 min,Drama Romance,1759252,104254,1863506
tt1341341,Magnolia Pictures,6920,0,R,1 hr 29 min,Comedy Romance,22270,25904,48174
tt1551621,,0,0,R,1 hr 52 min,Action Romance,0,961563,961563
tt1316622,IFC Films,2054,0,R,1 hr 31 min,Adventure Drama Mystery Thriller,8020,221512,229532
tt1270277,Maya Entertainment,9448,0,R,1 hr 36 min,Drama,13826,0,13826
tt0035746,,0,0,,1 hr 38 min,Drama History War,0,0,0
tt1417592,Abramorama,102448,0,,1 hr 59 min,Documentary History Music,471334,0,471334
tt0062826,,0,0,,1 hr 37 min,Drama,0,0,0
tt0044572,,0,0,,1 hr 50 min,Comedy Romance,0,0,0
tt1742650,The Weinstein Company,4402201,24000000,PG-13,1 hr 29 min,Comedy Romance,9662284,21747867,31410151
tt0038043,,0,0,,1 hr 25 min,Drama War,0,0,0
tt0046006,,0,0,,1 hr 33 min,Drama Family,0,0,0
tt0040869,,0,0,,1 hr 29 min,Comedy Fantasy Musical Romance,0,0,0
tt0058479,,0,0,,1 hr 47 min,Comedy Musical Romance,0,0,0
tt0050135,,0,0,,1 hr 37 min,Comedy Drama Musical,0,0,0
tt1529569,,0,0,,1 hr 45 min,Comedy Romance,0,6054202,6054202
tt0036840,,0,0,,1 hr 50 min,Adventure Drama Romance,0,0,0
tt1456472,IFC Films,31368,0,,1 hr 42 min,Comedy Drama,548115,17329408,17877523
tt1633356,Relativity Media,8404260,25000000,PG-13,1 hr 30 min,Horror Thriller,18877153,22486774,41363927
tt1598778,Warner Bros.,22403596,60000000,PG-13,1 hr 46 min,Drama Thriller,75658097,60857770,136515867
